Гeнeрaтoр примeрoв пo aлгeбрe (c) Алоян

Вариант №1
(x*28+168)*9+2772=21168,  x = 67
(x*29-87)/4-1972=4292,  x = 867
(x/29+87)*4+1972=4292,  x = 14297
(x/29+87)*4-1972=4292,  x = 42891
(x/29+87)/4+1972=4292,  x = 266597
(x/29+87)/4-1972=4292,  x = 724101
(x/29-87)*4+1972=4292,  x = 19343
(x/29-87)*4-1972=4292,  x = 47937
(x/29-87)/4+1972=4292,  x = 271643
(x/29-87)/4-1972=4292,  x = 729147

Вариант №7
(x*31+93)*25+6200=126325,  x = 152
(x*31+93)*25-6200=126325,  x = 168
(x*31+93)/25+6200=126325,  x = 96872
(x*31+93)/25-6200=126325,  x = 106872
(x*31-93)*25+6200=126325,  x = 158
(x*31-93)*25-6200=126325,  x = 174
(x*31-93)/25+6200=126325,  x = 96878
(x*31-93)/25-6200=126325,  x = 106878
(x/31+93)*25+6200=126325,  x = 146072
(x/31+93)*25-6200=126325,  x = 161448
(x/31+93)/25+6200=126325,  x = 93093992
(x/31+93)/25-6200=126325,  x = 102703992
(x/31-93)*25+6200=126325,  x = 151838
(x/31-93)*25-6200=126325,  x = 167214
(x/31-93)/25+6200=126325,  x = 93099758
(x/31-93)/25-6200=126325,  x = 102709758

Вариант №8
(x*31+62)*11+4433=21142,  x = 47
(x*31+62)*11-4433=21142,  x = 73
(x*31+62)/11+4433=21142,  x = 5927
(x*31+62)/11-4433=21142,  x = 9073
(x*31-62)*11+4433=21142,  x = 51
(x*31-62)*11-4433=21142,  x = 77
(x*31-62)/11+4433=21142,  x = 5931
(x*31-62)/11-4433=21142,  x = 9077
(x/31+62)*11+4433=21142,  x = 45167
(x/31+62)*11-4433=21142,  x = 70153
(x/31+62)/11+4433=21142,  x = 5695847
(x/31+62)/11-4433=21142,  x = 8719153
(x/31-62)*11+4433=21142,  x = 49011
(x/31-62)*11-4433=21142,  x = 73997
(x/31-62)/11+4433=21142,  x = 5699691
(x/31-62)/11-4433=21142,  x = 8722997

Вариант №9
(x*15+30)*23+1035=33810,  x = 93
(x*15+30)*23-1035=33810,  x = 99
(x*15+30)/23+1035=33810,  x = 50253
(x*15+30)/23-1035=33810,  x = 53427
(x*15-30)*23+1035=33810,  x = 97
(x*15-30)*23-1035=33810,  x = 103
(x*15-30)/23+1035=33810,  x = 50257
(x*15-30)/23-1035=33810,  x = 53431
(x/15+30)*23+1035=33810,  x = 20925
(x/15+30)*23-1035=33810,  x = 22275
(x/15+30)/23+1035=33810,  x = 11306925
(x/15+30)/23-1035=33810,  x = 12021075
(x/15-30)*23+1035=33810,  x = 21825
(x/15-30)*23-1035=33810,  x = 23175
(x/15-30)/23+1035=33810,  x = 11307825
(x/15-30)/23-1035=33810,  x = 12021975

Вариант №10
(x*12+24)*17+2040=19176,  x = 82
(x*12+24)*17-2040=19176,  x = 102
(x*12+24)/17+2040=19176,  x = 24274
(x*12+24)/17-2040=19176,  x = 30054
(x*12-24)*17+2040=19176,  x = 86
(x*12-24)*17-2040=19176,  x = 106
(x*12-24)/17+2040=19176,  x = 24278
(x*12-24)/17-2040=19176,  x = 30058
(x/12+24)*17+2040=19176,  x = 11808
(x/12+24)*17-2040=19176,  x = 14688
(x/12+24)/17+2040=19176,  x = 3495456
(x/12+24)/17-2040=19176,  x = 4327776
(x/12-24)*17+2040=19176,  x = 12384
(x/12-24)*17-2040=19176,  x = 15264
(x/12-24)/17+2040=19176,  x = 3496032
(x/12-24)/17-2040=19176,  x = 4328352

Вариант №11
(x*38+190)*25+8550=158650,  x = 153
(x*38+190)*25-8550=158650,  x = 171
(x*38+190)/25+8550=158650,  x = 98745
(x*38+190)/25-8550=158650,  x = 109995
(x*38-190)*25+8550=158650,  x = 163
(x*38-190)*25-8550=158650,  x = 181
(x*38-190)/25+8550=158650,  x = 98755
(x*38-190)/25-8550=158650,  x = 110005
(x/38+190)*25+8550=158650,  x = 220932
(x/38+190)*25-8550=158650,  x = 246924
(x/38+190)/25+8550=158650,  x = 142587780
(x/38+190)/25-8550=158650,  x = 158832780
(x/38-190)*25+8550=158650,  x = 235372
(x/38-190)*25-8550=158650,  x = 261364
(x/38-190)/25+8550=158650,  x = 142602220
(x/38-190)/25-8550=158650,  x = 158847220

Вариант №12
(x*27+54)*19+6156=49248,  x = 82
(x*27+54)*19-6156=49248,  x = 106
(x*27+54)/19+6156=49248,  x = 30322
(x*27+54)/19-6156=49248,  x = 38986
(x*27-54)*19+6156=49248,  x = 86
(x*27-54)*19-6156=49248,  x = 110
(x*27-54)/19+6156=49248,  x = 30326
(x*27-54)/19-6156=49248,  x = 38990
(x/27+54)*19+6156=49248,  x = 59778
(x/27+54)*19-6156=49248,  x = 77274
(x/27+54)/19+6156=49248,  x = 22104738
(x/27+54)/19-6156=49248,  x = 28420794
(x/27-54)*19+6156=49248,  x = 62694
(x/27-54)*19-6156=49248,  x = 80190
(x/27-54)/19+6156=49248,  x = 22107654
(x/27-54)/19-6156=49248,  x = 28423710

Вариант №13
(x*32+96)*14+2240=38976,  x = 79
(x*32+96)*14-2240=38976,  x = 89
(x*32+96)/14+2240=38976,  x = 16069
(x*32+96)/14-2240=38976,  x = 18029
(x*32-96)*14+2240=38976,  x = 85
(x*32-96)*14-2240=38976,  x = 95
(x*32-96)/14+2240=38976,  x = 16075
(x*32-96)/14-2240=38976,  x = 18035
(x/32+96)*14+2240=38976,  x = 80896
(x/32+96)*14-2240=38976,  x = 91136
(x/32+96)/14+2240=38976,  x = 16454656
(x/32+96)/14-2240=38976,  x = 18461696
(x/32-96)*14+2240=38976,  x = 87040
(x/32-96)*14-2240=38976,  x = 97280
(x/32-96)/14+2240=38976,  x = 16460800
(x/32-96)/14-2240=38976,  x = 18467840

Вариант №14
(x*11+22)*5+990=2310,  x = 22
(x*11+22)*5-990=2310,  x = 58
(x*11+22)/5+990=2310,  x = 598
(x*11+22)/5-990=2310,  x = 1498
(x*11-22)*5+990=2310,  x = 26
(x*11-22)*5-990=2310,  x = 62
(x*11-22)/5+990=2310,  x = 602
(x*11-22)/5-990=2310,  x = 1502
(x/11+22)*5+990=2310,  x = 2662
(x/11+22)*5-990=2310,  x = 7018
(x/11+22)/5+990=2310,  x = 72358
(x/11+22)/5-990=2310,  x = 181258
(x/11-22)*5+990=2310,  x = 3146
(x/11-22)*5-990=2310,  x = 7502
(x/11-22)/5+990=2310,  x = 72842
(x/11-22)/5-990=2310,  x = 181742

Вариант №15
(x*27+81)*11+3564=27027,  x = 76
(x*27+81)*11-3564=27027,  x = 100
(x*27+81)/11+3564=27027,  x = 9556
(x*27+81)/11-3564=27027,  x = 12460
(x*27-81)*11+3564=27027,  x = 82
(x*27-81)*11-3564=27027,  x = 106
(x*27-81)/11+3564=27027,  x = 9562
(x*27-81)/11-3564=27027,  x = 12466
(x/27+81)*11+3564=27027,  x = 55404
(x/27+81)*11-3564=27027,  x = 72900
(x/27+81)/11+3564=27027,  x = 6966324
(x/27+81)/11-3564=27027,  x = 9083340
(x/27-81)*11+3564=27027,  x = 59778
(x/27-81)*11-3564=27027,  x = 77274
(x/27-81)/11+3564=27027,  x = 6970698
(x/27-81)/11-3564=27027,  x = 9087714

Вариант №16
(x*18+36)*12+3672=16416,  x = 57
(x*18+36)*12-3672=16416,  x = 91
(x*18+36)/12+3672=16416,  x = 8494
(x*18+36)/12-3672=16416,  x = 13390
(x*18-36)*12+3672=16416,  x = 61
(x*18-36)*12-3672=16416,  x = 95
(x*18-36)/12+3672=16416,  x = 8498
(x*18-36)/12-3672=16416,  x = 13394
(x/18+36)*12+3672=16416,  x = 18468
(x/18+36)*12-3672=16416,  x = 29484
(x/18+36)/12+3672=16416,  x = 2752056
(x/18+36)/12-3672=16416,  x = 4338360
(x/18-36)*12+3672=16416,  x = 19764
(x/18-36)*12-3672=16416,  x = 30780
(x/18-36)/12+3672=16416,  x = 2753352
(x/18-36)/12-3672=16416,  x = 4339656

Вариант №17
(x*22+88)*5+990=7920,  x = 59
(x*22+88)*5-990=7920,  x = 77
(x*22+88)/5+990=7920,  x = 1571
(x*22+88)/5-990=7920,  x = 2021
(x*22-88)*5+990=7920,  x = 67
(x*22-88)*5-990=7920,  x = 85
(x*22-88)/5+990=7920,  x = 1579
(x*22-88)/5-990=7920,  x = 2029
(x/22+88)*5+990=7920,  x = 28556
(x/22+88)*5-990=7920,  x = 37268
(x/22+88)/5+990=7920,  x = 760364
(x/22+88)/5-990=7920,  x = 978164
(x/22-88)*5+990=7920,  x = 32428
(x/22-88)*5-990=7920,  x = 41140
(x/22-88)/5+990=7920,  x = 764236
(x/22-88)/5-990=7920,  x = 982036

Вариант №18
(x*13+26)*24+8736=53040,  x = 140
(x*13+26)*24-8736=53040,  x = 196
(x*13+26)/24+8736=53040,  x = 81790
(x*13+26)/24-8736=53040,  x = 114046
(x*13-26)*24+8736=53040,  x = 144
(x*13-26)*24-8736=53040,  x = 200
(x*13-26)/24+8736=53040,  x = 81794
(x*13-26)/24-8736=53040,  x = 114050
(x/13+26)*24+8736=53040,  x = 23660
(x/13+26)*24-8736=53040,  x = 33124
(x/13+26)/24+8736=53040,  x = 13822510
(x/13+26)/24-8736=53040,  x = 19273774
(x/13-26)*24+8736=53040,  x = 24336
(x/13-26)*24-8736=53040,  x = 33800
(x/13-26)/24+8736=53040,  x = 13823186
(x/13-26)/24-8736=53040,  x = 19274450

Вариант №19
(x*22+88)*25+3850=95150,  x = 162
(x*22+88)*25-3850=95150,  x = 176
(x*22+88)/25+3850=95150,  x = 103746
(x*22+88)/25-3850=95150,  x = 112496
(x*22-88)*25+3850=95150,  x = 170
(x*22-88)*25-3850=95150,  x = 184
(x*22-88)/25+3850=95150,  x = 103754
(x*22-88)/25-3850=95150,  x = 112504
(x/22+88)*25+3850=95150,  x = 78408
(x/22+88)*25-3850=95150,  x = 85184
(x/22+88)/25+3850=95150,  x = 50213064
(x/22+88)/25-3850=95150,  x = 54448064
(x/22-88)*25+3850=95150,  x = 82280
(x/22-88)*25-3850=95150,  x = 89056
(x/22-88)/25+3850=95150,  x = 50216936
(x/22-88)/25-3850=95150,  x = 54451936

Вариант №20
(x*29+116)*11+1276=24882,  x = 70
(x*29+116)*11-1276=24882,  x = 78
(x*29+116)/11+1276=24882,  x = 8950
(x*29+116)/11-1276=24882,  x = 9918
(x*29-116)*11+1276=24882,  x = 78
(x*29-116)*11-1276=24882,  x = 86
(x*29-116)/11+1276=24882,  x = 8958
(x*29-116)/11-1276=24882,  x = 9926
(x/29+116)*11+1276=24882,  x = 58870
(x/29+116)*11-1276=24882,  x = 65598
(x/29+116)/11+1276=24882,  x = 7526950
(x/29+116)/11-1276=24882,  x = 8341038
(x/29-116)*11+1276=24882,  x = 65598
(x/29-116)*11-1276=24882,  x = 72326
(x/29-116)/11+1276=24882,  x = 7533678
(x/29-116)/11-1276=24882,  x = 8347766

Вариант №21
(x*23+115)*4+1656=6808,  x = 51
(x*23+115)*4-1656=6808,  x = 87
(x*23+115)/4+1656=6808,  x = 891
(x*23+115)/4-1656=6808,  x = 1467
(x*23-115)*4+1656=6808,  x = 61
(x*23-115)*4-1656=6808,  x = 97
(x*23-115)/4+1656=6808,  x = 901
(x*23-115)/4-1656=6808,  x = 1477
(x/23+115)*4+1656=6808,  x = 26979
(x/23+115)*4-1656=6808,  x = 46023
(x/23+115)/4+1656=6808,  x = 471339
(x/23+115)/4-1656=6808,  x = 776043
(x/23-115)*4+1656=6808,  x = 32269
(x/23-115)*4-1656=6808,  x = 51313
(x/23-115)/4+1656=6808,  x = 476629
(x/23-115)/4-1656=6808,  x = 781333

Вариант №22
(x*22+88)*13+2574=21736,  x = 63
(x*22+88)*13-2574=21736,  x = 81
(x*22+88)/13+2574=21736,  x = 11319
(x*22+88)/13-2574=21736,  x = 14361
(x*22-88)*13+2574=21736,  x = 71
(x*22-88)*13-2574=21736,  x = 89
(x*22-88)/13+2574=21736,  x = 11327
(x*22-88)/13-2574=21736,  x = 14369
(x/22+88)*13+2574=21736,  x = 30492
(x/22+88)*13-2574=21736,  x = 39204
(x/22+88)/13+2574=21736,  x = 5478396
(x/22+88)/13-2574=21736,  x = 6950724
(x/22-88)*13+2574=21736,  x = 34364
(x/22-88)*13-2574=21736,  x = 43076
(x/22-88)/13+2574=21736,  x = 5482268
(x/22-88)/13-2574=21736,  x = 6954596

Вариант №23
(x*32+128)*24+19968=138240,  x = 150
(x*32+128)*24-19968=138240,  x = 202
(x*32+128)/24+19968=138240,  x = 88700
(x*32+128)/24-19968=138240,  x = 118652
(x*32-128)*24+19968=138240,  x = 158
(x*32-128)*24-19968=138240,  x = 210
(x*32-128)/24+19968=138240,  x = 88708
(x*32-128)/24-19968=138240,  x = 118660
(x/32+128)*24+19968=138240,  x = 153600
(x/32+128)*24-19968=138240,  x = 206848
(x/32+128)/24+19968=138240,  x = 90828800
(x/32+128)/24-19968=138240,  x = 121499648
(x/32-128)*24+19968=138240,  x = 161792
(x/32-128)*24-19968=138240,  x = 215040
(x/32-128)/24+19968=138240,  x = 90836992
(x/32-128)/24-19968=138240,  x = 121507840

Вариант №24
(x*13+156)*4+988=4212,  x = 50
(x*13+156)*4-988=4212,  x = 88
(x*13+156)/4+988=4212,  x = 980
(x*13+156)/4-988=4212,  x = 1588
(x*13-156)*4+988=4212,  x = 74
(x*13-156)*4-988=4212,  x = 112
(x*13-156)/4+988=4212,  x = 1004
(x*13-156)/4-988=4212,  x = 1612
(x/13+156)*4+988=4212,  x = 8450
(x/13+156)*4-988=4212,  x = 14872
(x/13+156)/4+988=4212,  x = 165620
(x/13+156)/4-988=4212,  x = 268372
(x/13-156)*4+988=4212,  x = 12506
(x/13-156)*4-988=4212,  x = 18928
(x/13-156)/4+988=4212,  x = 169676
(x/13-156)/4-988=4212,  x = 272428

Вариант №25
(x*35+175)*8+4480=17920,  x = 43
(x*35+175)*8-4480=17920,  x = 75
(x*35+175)/8+4480=17920,  x = 3067
(x*35+175)/8-4480=17920,  x = 5115
(x*35-175)*8+4480=17920,  x = 53
(x*35-175)*8-4480=17920,  x = 85
(x*35-175)/8+4480=17920,  x = 3077
(x*35-175)/8-4480=17920,  x = 5125
(x/35+175)*8+4480=17920,  x = 52675
(x/35+175)*8-4480=17920,  x = 91875
(x/35+175)/8+4480=17920,  x = 3757075
(x/35+175)/8-4480=17920,  x = 6265875
(x/35-175)*8+4480=17920,  x = 64925
(x/35-175)*8-4480=17920,  x = 104125
(x/35-175)/8+4480=17920,  x = 3769325
(x/35-175)/8-4480=17920,  x = 6278125

Вариант №26
(x*11+33)*20+2420=21340,  x = 83
(x*11+33)*20-2420=21340,  x = 105
(x*11+33)/20+2420=21340,  x = 34397
(x*11+33)/20-2420=21340,  x = 43197
(x*11-33)*20+2420=21340,  x = 89
(x*11-33)*20-2420=21340,  x = 111
(x*11-33)/20+2420=21340,  x = 34403
(x*11-33)/20-2420=21340,  x = 43203
(x/11+33)*20+2420=21340,  x = 10043
(x/11+33)*20-2420=21340,  x = 12705
(x/11+33)/20+2420=21340,  x = 4162037
(x/11+33)/20-2420=21340,  x = 5226837
(x/11-33)*20+2420=21340,  x = 10769
(x/11-33)*20-2420=21340,  x = 13431
(x/11-33)/20+2420=21340,  x = 4162763
(x/11-33)/20-2420=21340,  x = 5227563

Вариант №27
(x*15+30)*12+720=16920,  x = 88
(x*15+30)*12-720=16920,  x = 96
(x*15+30)/12+720=16920,  x = 12958
(x*15+30)/12-720=16920,  x = 14110
(x*15-30)*12+720=16920,  x = 92
(x*15-30)*12-720=16920,  x = 100
(x*15-30)/12+720=16920,  x = 12962
(x*15-30)/12-720=16920,  x = 14114
(x/15+30)*12+720=16920,  x = 19800
(x/15+30)*12-720=16920,  x = 21600
(x/15+30)/12+720=16920,  x = 2915550
(x/15+30)/12-720=16920,  x = 3174750
(x/15-30)*12+720=16920,  x = 20700
(x/15-30)*12-720=16920,  x = 22500
(x/15-30)/12+720=16920,  x = 2916450
(x/15-30)/12-720=16920,  x = 3175650

Вариант №28
(x*27+162)*7+1890=17388,  x = 76
(x*27+162)*7-1890=17388,  x = 96
(x*27+162)/7+1890=17388,  x = 4012
(x*27+162)/7-1890=17388,  x = 4992
(x*27-162)*7+1890=17388,  x = 88
(x*27-162)*7-1890=17388,  x = 108
(x*27-162)/7+1890=17388,  x = 4024
(x*27-162)/7-1890=17388,  x = 5004
(x/27+162)*7+1890=17388,  x = 55404
(x/27+162)*7-1890=17388,  x = 69984
(x/27+162)/7+1890=17388,  x = 2924748
(x/27+162)/7-1890=17388,  x = 3639168
(x/27-162)*7+1890=17388,  x = 64152
(x/27-162)*7-1890=17388,  x = 78732
(x/27-162)/7+1890=17388,  x = 2933496
(x/27-162)/7-1890=17388,  x = 3647916

Вариант №29
(x*36+72)*21+2268=71064,  x = 89
(x*36+72)*21-2268=71064,  x = 95
(x*36+72)/21+2268=71064,  x = 40129
(x*36+72)/21-2268=71064,  x = 42775
(x*36-72)*21+2268=71064,  x = 93
(x*36-72)*21-2268=71064,  x = 99
(x*36-72)/21+2268=71064,  x = 40133
(x*36-72)/21-2268=71064,  x = 42779
(x/36+72)*21+2268=71064,  x = 115344
(x/36+72)*21-2268=71064,  x = 123120
(x/36+72)/21+2268=71064,  x = 52007184
(x/36+72)/21-2268=71064,  x = 55436400
(x/36-72)*21+2268=71064,  x = 120528
(x/36-72)*21-2268=71064,  x = 128304
(x/36-72)/21+2268=71064,  x = 52012368
(x/36-72)/21-2268=71064,  x = 55441584

Вариант №30
(x*17+68)*22+7106=68442,  x = 160
(x*17+68)*22-7106=68442,  x = 198
(x*17+68)/22+7106=68442,  x = 79372
(x*17+68)/22-7106=68442,  x = 97764
(x*17-68)*22+7106=68442,  x = 168
(x*17-68)*22-7106=68442,  x = 206
(x*17-68)/22+7106=68442,  x = 79380
(x*17-68)/22-7106=68442,  x = 97772
(x/17+68)*22+7106=68442,  x = 46240
(x/17+68)*22-7106=68442,  x = 57222
(x/17+68)/22+7106=68442,  x = 22938508
(x/17+68)/22-7106=68442,  x = 28253796
(x/17-68)*22+7106=68442,  x = 48552
(x/17-68)*22-7106=68442,  x = 59534
(x/17-68)/22+7106=68442,  x = 22940820
(x/17-68)/22-7106=68442,  x = 28256108

Вариант №31
(x*32+96)*29+23200=172608,  x = 158
(x*32+96)*29-23200=172608,  x = 208
(x*32+96)/29+23200=172608,  x = 135398
(x*32+96)/29-23200=172608,  x = 177448
(x*32-96)*29+23200=172608,  x = 164
(x*32-96)*29-23200=172608,  x = 214
(x*32-96)/29+23200=172608,  x = 135404
(x*32-96)/29-23200=172608,  x = 177454
(x/32+96)*29+23200=172608,  x = 161792
(x/32+96)*29-23200=172608,  x = 212992
(x/32+96)/29+23200=172608,  x = 138647552
(x/32+96)/29-23200=172608,  x = 181706752
(x/32-96)*29+23200=172608,  x = 167936
(x/32-96)*29-23200=172608,  x = 219136
(x/32-96)/29+23200=172608,  x = 138653696
(x/32-96)/29-23200=172608,  x = 181712896

Вариант №32
(x*34+68)*19+17442=68476,  x = 77
(x*34+68)*19-17442=68476,  x = 131
(x*34+68)/19+17442=68476,  x = 28517
(x*34+68)/19-17442=68476,  x = 48011
(x*34-68)*19+17442=68476,  x = 81
(x*34-68)*19-17442=68476,  x = 135
(x*34-68)/19+17442=68476,  x = 28521
(x*34-68)/19-17442=68476,  x = 48015
(x/34+68)*19+17442=68476,  x = 89012
(x/34+68)*19-17442=68476,  x = 151436
(x/34+68)/19+17442=68476,  x = 32965652
(x/34+68)/19-17442=68476,  x = 55500716
(x/34-68)*19+17442=68476,  x = 93636
(x/34-68)*19-17442=68476,  x = 156060
(x/34-68)/19+17442=68476,  x = 32970276
(x/34-68)/19-17442=68476,  x = 55505340

Вариант №33
(x*13+39)*18+5850=22932,  x = 70
(x*13+39)*18-5850=22932,  x = 120
(x*13+39)/18+5850=22932,  x = 23649
(x*13+39)/18-5850=22932,  x = 39849
(x*13-39)*18+5850=22932,  x = 76
(x*13-39)*18-5850=22932,  x = 126
(x*13-39)/18+5850=22932,  x = 23655
(x*13-39)/18-5850=22932,  x = 39855
(x/13+39)*18+5850=22932,  x = 11830
(x/13+39)*18-5850=22932,  x = 20280
(x/13+39)/18+5850=22932,  x = 3996681
(x/13+39)/18-5850=22932,  x = 6734481
(x/13-39)*18+5850=22932,  x = 12844
(x/13-39)*18-5850=22932,  x = 21294
(x/13-39)/18+5850=22932,  x = 3997695
(x/13-39)/18-5850=22932,  x = 6735495

Вариант №34
(x*22+44)*12+7128=22176,  x = 55
(x*22+44)*12-7128=22176,  x = 109
(x*22+44)/12+7128=22176,  x = 8206
(x*22+44)/12-7128=22176,  x = 15982
(x*22-44)*12+7128=22176,  x = 59
(x*22-44)*12-7128=22176,  x = 113
(x*22-44)/12+7128=22176,  x = 8210
(x*22-44)/12-7128=22176,  x = 15986
(x/22+44)*12+7128=22176,  x = 26620
(x/22+44)*12-7128=22176,  x = 52756
(x/22+44)/12+7128=22176,  x = 3971704
(x/22+44)/12-7128=22176,  x = 7735288
(x/22-44)*12+7128=22176,  x = 28556
(x/22-44)*12-7128=22176,  x = 54692
(x/22-44)/12+7128=22176,  x = 3973640
(x/22-44)/12-7128=22176,  x = 7737224

Вариант №35
(x*17+51)*20+3740=32300,  x = 81
(x*17+51)*20-3740=32300,  x = 103
(x*17+51)/20+3740=32300,  x = 33597
(x*17+51)/20-3740=32300,  x = 42397
(x*17-51)*20+3740=32300,  x = 87
(x*17-51)*20-3740=32300,  x = 109
(x*17-51)/20+3740=32300,  x = 33603
(x*17-51)/20-3740=32300,  x = 42403
(x/17+51)*20+3740=32300,  x = 23409
(x/17+51)*20-3740=32300,  x = 29767
(x/17+51)/20+3740=32300,  x = 9709533
(x/17+51)/20-3740=32300,  x = 12252733
(x/17-51)*20+3740=32300,  x = 25143
(x/17-51)*20-3740=32300,  x = 31501
(x/17-51)/20+3740=32300,  x = 9711267
(x/17-51)/20-3740=32300,  x = 12254467

Вариант №36
(x*34+102)*27+11934=111996,  x = 106
(x*34+102)*27-11934=111996,  x = 132
(x*34+102)/27+11934=111996,  x = 79458
(x*34+102)/27-11934=111996,  x = 98412
(x*34-102)*27+11934=111996,  x = 112
(x*34-102)*27-11934=111996,  x = 138
(x*34-102)/27+11934=111996,  x = 79464
(x*34-102)/27-11934=111996,  x = 98418
(x/34+102)*27+11934=111996,  x = 122536
(x/34+102)*27-11934=111996,  x = 152592
(x/34+102)/27+11934=111996,  x = 91853448
(x/34+102)/27-11934=111996,  x = 113764272
(x/34-102)*27+11934=111996,  x = 129472
(x/34-102)*27-11934=111996,  x = 159528
(x/34-102)/27+11934=111996,  x = 91860384
(x/34-102)/27-11934=111996,  x = 113771208

Вариант №37
(x*36+108)*26+11232=117936,  x = 111
(x*36+108)*26-11232=117936,  x = 135
(x*36+108)/26+11232=117936,  x = 77061
(x*36+108)/26-11232=117936,  x = 93285
(x*36-108)*26+11232=117936,  x = 117
(x*36-108)*26-11232=117936,  x = 141
(x*36-108)/26+11232=117936,  x = 77067
(x*36-108)/26-11232=117936,  x = 93291
(x/36+108)*26+11232=117936,  x = 143856
(x/36+108)*26-11232=117936,  x = 174960
(x/36+108)/26+11232=117936,  x = 99871056
(x/36+108)/26-11232=117936,  x = 120897360
(x/36-108)*26+11232=117936,  x = 151632
(x/36-108)*26-11232=117936,  x = 182736
(x/36-108)/26+11232=117936,  x = 99878832
(x/36-108)/26-11232=117936,  x = 120905136

Вариант №38
(x*16+80)*6+1920=5568,  x = 33
(x*16+80)*6-1920=5568,  x = 73
(x*16+80)/6+1920=5568,  x = 1363
